AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME,ROAD_MSG,ROAD_TRAFFIC_IDX,ROAD_TRFFIC_TIME,ROAD_TRAFFIC_SPD,ACDNT_CNTRL_CNT,WEATHER_TIME,TEMP,SENSIBLE_TEMP,MAX_TEMP,MIN_TEMP,HUMIDITY,WIND_DIRCT,WIND_SPD,PRECIPITATION,PRECPT_TYPE,PCP_MSG,SUNRISE,SUNSET,UV_INDEX_LVL,UV_INDEX,UV_MSG,PM25_INDEX,PM25,PM10_INDEX,PM10,AIR_IDX,AIR_IDX_MVL,AIR_IDX_MAIN,AIR_MSG,NEWS_LIST
경복궁·서촌마을,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,40.5,59.5,0.1,7.6,18.4,19.0,17.8,15.9,12.6,8.6,24.4,75.6,N,2023-03-30 11:10,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-30 11:45,17,0,2023-03-30 11:41,17.4,18.7,20,5,32,ESE,2.7,-,없음,비 또는 눈 소식이 없어요.,06:22,18:52,4,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,32,보통,61,보통,92,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
광화문·덕수궁,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,32000,34000,51.9,48.1,0.1,2.0,15.5,26.9,26.4,17.4,7.5,4.1,35.2,64.8,N,2023-03-30 11:10,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-30 11:45,15,0,2023-03-30 11:41,17.4,18.7,20,5,32,ESE,2.7,-,없음,비 또는 눈 소식이 없어요.,06:22,18:52,4,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,32,보통,61,보통,92,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
창덕궁·종묘,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,50.8,49.2,0.0,3.0,21.0,19.6,19.7,17.5,11.7,7.5,32.8,67.2,N,2023-03-30 11:10,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-30 11:45,15,0,2023-03-30 11:41,17.4,18.7,20,5,32,ESE,2.7,-,없음,비 또는 눈 소식이 없어요.,06:22,18:52,4,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,32,보통,61,보통,92,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
강남 MICE 관광특구,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,22000,24000,49.5,50.5,0.0,1.2,20.3,34.3,24.7,13.1,4.6,1.7,29.2,70.8,N,2023-03-30 11:10,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,정체,2023-03-30 11:45,14,0,2023-03-30 11:41,18,19.7,21,5,26,NNE,1.8,-,없음,비 또는 눈 소식이 없어요.,06:22,18:52,5,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,25,보통,54,보통,81,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
동대문 관광특구,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,26000,44.0,56.0,0.1,3.2,15.2,23.7,21.4,17.2,12.0,7.1,18.0,82.0,N,2023-03-30 11:10,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-30 11:45,17,0,2023-03-30 11:41,17.4,18.7,20,5,32,ESE,2.7,-,없음,비 또는 눈 소식이 없어요.,06:22,18:52,4,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,32,보통,61,보통,92,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,62000,64000,49.3,50.7,0.0,1.6,16.7,27.9,24.8,15.8,8.7,4.4,33.0,67.0,N,2023-03-30 11:10,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,정체,2023-03-30 11:45,13,0,2023-03-30 11:41,17.4,18.7,20,5,32,ESE,2.7,-,없음,비 또는 눈 소식이 없어요.,06:22,18:52,4,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,34,보통,58,나쁨,120,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.",
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8500,9000,45.3,54.7,0.1,1.4,21.0,28.5,21.2,13.4,8.9,5.6,32.9,67.1,N,2023-03-30 11:10,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-30 11:45,18,0,2023-03-30 11:41,17,18.7,20,6,25,ESE,1.6,-,없음,비 또는 눈 소식이 없어요.,06:22,18:52,5,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,나쁨,39,보통,75,나쁨,101,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.",
잠실 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,50000,52000,44.6,55.4,0.4,4.3,18.1,24.9,20.2,14.7,10.6,6.7,24.4,75.6,N,2023-03-30 11:10,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-30 11:45,22,8,2023-03-30 11:41,17.2,19.3,21,5,25,E,1,-,없음,비 또는 눈 소식이 없어요.,06:22,18:52,4,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,31,보통,70,보통,92,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
종로·청계 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,53.3,46.7,0.0,1.4,16.2,19.1,20.9,18.7,14.3,9.4,30.7,69.3,N,2023-03-30 11:10,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,정체,2023-03-30 11:45,13,0,2023-03-30 11:41,17.4,18.7,20,5,32,ESE,2.7,-,없음,비 또는 눈 소식이 없어요.,06:22,18:52,4,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,32,보통,61,보통,92,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,44000,46000,44.5,55.5,0.2,2.3,30.2,26.7,18.1,11.6,6.6,4.3,33.1,66.9,N,2023-03-30 11:10,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-03-30 11:45,15,0,2023-03-30 11:41,15.6,16.8,20,6,41,SSE,2.5,-,없음,비 또는 눈 소식이 없어요.,06:22,18:52,4,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,나쁨,55,보통,80,나쁨,147,PM-2.5,"장기간 또는 무리한 실외활동을 제한합니다.눈, 목 등에 통증이 느껴지고 기침이 난다면 실외활동을 피해주세요.",
