AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME,ROAD_MSG,ROAD_TRAFFIC_IDX,ROAD_TRFFIC_TIME,ROAD_TRAFFIC_SPD,ACDNT_CNTRL_CNT,WEATHER_TIME,TEMP,SENSIBLE_TEMP,MAX_TEMP,MIN_TEMP,HUMIDITY,WIND_DIRCT,WIND_SPD,PRECIPITATION,PRECPT_TYPE,PCP_MSG,SUNRISE,SUNSET,UV_INDEX_LVL,UV_INDEX,UV_MSG,PM25_INDEX,PM25,PM10_INDEX,PM10,AIR_IDX,AIR_IDX_MVL,AIR_IDX_MAIN,AIR_MSG,NEWS_LIST
경복궁·서촌마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,6500,47.9,52.1,0.3,7.5,18.2,21.0,18.8,16.7,9.4,8.1,43.3,56.7,N,2023-02-21 21:50,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 22:20,21,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
광화문·덕수궁,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,56.0,44.0,0.1,3.0,21.5,25.2,22.6,16.5,7.7,3.5,10.7,89.3,N,2023-02-21 21:50,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 22:20,17,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
창덕궁·종묘,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,6000,52.9,47.1,0.1,4.9,29.3,21.5,16.0,15.4,7.9,4.9,24.0,76.0,N,2023-02-21 21:50,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 22:20,17,8,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
강남 MICE 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,50.1,49.9,0.1,8.7,34.1,24.4,17.4,9.4,4.9,1.1,3.0,97.0,N,2023-02-21 21:50,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,정체,2023-02-21 22:20,13,0,2023-02-21 22:01,-0.9,0.2,4,-5,43,ESE,1.4,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,17,보통,34,보통,53.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
동대문 관광특구,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,46.5,53.5,0.1,3.5,23.0,25.4,19.5,15.4,9.8,3.2,19.1,80.9,N,2023-02-21 21:50,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 22:20,17,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,18000,20000,57.1,42.9,0.0,4.9,28.1,24.2,22.1,13.7,5.2,1.7,5.8,94.2,N,2023-02-21 21:50,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 22:20,16,8,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,점검중,0,점검중,0,점검중,점검중,,원본 시스템 서비스 점검중입니다.,
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,7000,49.2,50.8,0.2,4.2,34.1,27.8,14.8,10.4,5.0,3.6,20.1,79.9,N,2023-02-21 21:50,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 22:20,20,0,2023-02-21 22:01,-0.2,0.7,3,-6,41,ESE,1.6,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,20,보통,37,보통,52.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
잠실 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,30000,32000,49.9,50.1,0.4,8.4,30.2,23.1,16.1,11.2,6.9,3.7,18.2,81.8,N,2023-02-21 21:50,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 22:20,22,0,2023-02-21 22:01,0,2.4,4,-5,35,SE,0.7,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,16,보통,36,보통,59.0,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,54.9,45.1,0.1,4.7,29.2,20.7,16.8,16.2,8.9,3.4,11.3,88.7,N,2023-02-21 21:50,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 22:20,16,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,52000,54000,45.7,54.3,0.1,11.6,45.5,19.1,11.0,7.0,3.5,2.2,13.7,86.3,N,2023-02-21 21:50,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 22:20,16,0,2023-02-21 22:01,-0.5,1.1,3,-6,44,SE,1.1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,좋음,11,좋음,23,보통,53.0,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
